id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019d9ee6-40f5-76b3-70df-c2bafa9c2e3e,john,male,1,75,senior,NG,,0.076138176,2026-04-18T04:43:03.285Z
019d9ee6-40f7-7dae-f421-c3169a86e3f9,emma,female,0.97,43,adult,CN,,0.09084826,2026-04-18T04:43:03.287Z
019d9ee6-450d-7394-dbf6-c9969d6a21a0,sarah,female,0.99,48,adult,UG,,0.06641206,2026-04-18T04:43:04.333Z
019d9ee6-4560-719a-0a7a-8564c5c96fd7,alice,female,0.99,58,adult,CN,,0.15527707,2026-04-18T04:43:04.416Z
019d9ee6-4677-7388-036b-c8f46bd44134,michael,male,1,65,senior,NG,,0.08072892,2026-04-18T04:43:04.695Z
019d9ee6-4801-788c-23e6-633f5866551c,david,male,1,64,senior,NG,,0.049693875,2026-04-18T04:43:05.089Z
019d9ee6-487d-728d-e9ca-242ef012f8c6,mary,female,0.99,73,senior,NG,,0.07604795,2026-04-18T04:43:05.213Z
019da0da-c90e-7aba-b0a8-a74230b08723,precious,female,0.91,46,adult,NG,,0.2552635,2026-04-18T13:49:46.126Z
019da0db-071e-788b-780b-06e6b89b2fcf,justine,female,0.94,40,adult,UG,,0.11270995,2026-04-18T13:50:02.014Z
019dba37-606a-7c94-b67e-fc229ee6c441,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-04-23T12:01:24.586Z
019dba37-61af-7aad-94f0-ac26b39b16ef,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-04-23T12:01:24.911Z
019dba37-62b4-7a94-5fa9-1fe547345b5a,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-04-23T12:01:25.172Z
019dba37-63c8-7cb5-9c21-e6793a468128,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-04-23T12:01:25.448Z
019dba37-6764-7db7-c411-5c1c7595adff,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-04-23T12:01:26.372Z
019dba37-6865-7088-5a99-368b75f3feff,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-04-23T12:01:26.629Z
019dba37-696d-72b4-3241-9908b2ae062c,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-04-23T12:01:26.893Z
019dba37-6a7c-7fae-e825-296288761a7c,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-04-23T12:01:27.164Z
019dba37-6b7d-718c-c15b-53cc5d465be1,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-04-23T12:01:27.421Z
019dba37-6c80-70a2-f2e6-e8018b242fae,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-04-23T12:01:27.680Z
019dba37-6e19-7391-3b84-3031b5b57a61,Miséricorde Eyeghe,female,0.88,45,adult,CG,Republic of the Congo,0.36,2026-04-23T12:01:28.089Z
019dba37-6f21-7cad-b8a4-a787368f81ca,Odhiambo Kamau,male,0.7,64,senior,MZ,Mozambique,0.48,2026-04-23T12:01:28.353Z
019dba37-7024-7795-4106-f9c3f4c157c4,Zanele Moyo,female,0.9,58,adult,ZA,South Africa,0.6,2026-04-23T12:01:28.612Z
019dba37-712a-7999-79bd-2866c3a4accb,Paul Sidibé,male,0.75,40,adult,ML,Mali,0.23,2026-04-23T12:01:28.874Z
019dba37-722b-7aa4-82bf-157bd1d57665,Tafadzwa Cele,male,0.92,37,adult,ZA,South Africa,0.5,2026-04-23T12:01:29.131Z
019dba37-7336-7982-8b8c-38d87702c5ba,Tanaka Khumalo,male,0.9,24,adult,ZA,South Africa,0.5,2026-04-23T12:01:29.398Z
019dba37-7434-719d-efab-c25c6269344e,Thandiwe Dube,female,0.81,15,teenager,AO,Angola,0.52,2026-04-23T12:01:29.652Z
019dba37-7534-7e86-1a96-5b06cf8b10e5,Tendai Mwangi,male,0.75,6,child,TZ,Tanzania,0.4,2026-04-23T12:01:29.908Z
019dba37-762a-7c93-95e0-121db607916f,Susan Edwards,female,0.83,54,adult,IN,India,0.42,2026-04-23T12:01:30.154Z
019dba37-7722-76b7-0e0d-11ac91e81237,Véronique Mukendi,female,0.77,55,adult,CD,DR Congo,0.24,2026-04-23T12:01:30.402Z
019dba37-782d-7eac-0b02-dc54bd90af81,Kevin King,male,0.68,35,adult,FR,France,0.62,2026-04-23T12:01:30.669Z
019dba37-792d-78bd-0975-3e4df72c8a8f,Zanele Mnguni,female,0.68,30,adult,KE,Kenya,0.85,2026-04-23T12:01:30.925Z
019dba37-7a30-7e87-9551-d73a76a4a52f,Tadesse Achieng,male,0.83,34,adult,UG,Uganda,0.49,2026-04-23T12:01:31.184Z
019dba37-7b4a-728e-1b96-b69fba73871b,Rakiya Otieno,female,0.97,14,teenager,KE,Kenya,0.38,2026-04-23T12:01:31.466Z
019dba37-7c5b-7184-d87d-5a01626d2327,Mazvita Ndebele,female,0.76,50,adult,ZM,Zambia,0.91,2026-04-23T12:01:31.739Z
019dba37-7d69-7491-a696-ef97ba35a740,Carol Green,female,0.81,55,adult,GB,United Kingdom,0.65,2026-04-23T12:01:32.009Z
019dba37-7e5e-779b-0ea0-66c92260f79c,Kagiso Mohamed,male,0.98,7,child,ER,Eritrea,0.43,2026-04-23T12:01:32.254Z
019dba37-7f63-7f84-e999-8b81d6bca624,Nomsa Ouma,female,0.94,42,adult,UG,Uganda,0.31,2026-04-23T12:01:32.515Z
019dba37-8076-7780-2f36-b29f8cafb569,Sadiya Awino,female,0.7,17,teenager,TZ,Tanzania,0.24,2026-04-23T12:01:32.790Z
019dba37-8173-79bf-a1f9-f2c6e5dca3b4,Fortuné Mboumba,male,0.95,17,teenager,GA,Gabon,0.53,2026-04-23T12:01:33.043Z
019dba37-8728-789e-8e59-04a7e3501ec4,Ayasha Kamau,female,0.82,46,adult,RW,Rwanda,0.68,2026-04-23T12:01:34.504Z
019dba37-887f-7984-74c6-9cd26467b33f,Adaeze Coulibaly,female,0.73,41,adult,NG,Nigeria,0.6,2026-04-23T12:01:34.847Z
019dba37-8986-7882-0a00-d5f0c4e8fac5,Adhiambo Mnguni,female,0.79,83,senior,KE,Kenya,0.47,2026-04-23T12:01:35.110Z
019dba37-8a9e-7b80-e44f-44bb49412406,Maame Kaboré,female,0.8,56,adult,SN,Senegal,0.29,2026-04-23T12:01:35.390Z
019dba37-8c16-7a9d-d2c5-299ab61edd4b,Rumbidzai Mnguni,female,0.96,32,adult,NA,Namibia,0.26,2026-04-23T12:01:35.766Z
019dba37-8d54-7ba0-a29a-0925e2ee4493,Généreuse Mboumba,female,0.71,40,adult,CD,DR Congo,0.39,2026-04-23T12:01:36.084Z
019dba37-8e64-7c91-8b9d-6fe592ca54c1,Bayo Ouédraogo,male,0.99,27,adult,NG,Nigeria,0.81,2026-04-23T12:01:36.356Z
019dba37-8f64-7283-26bf-574a6c4f54b4,Joseph Scott,male,0.83,83,senior,GB,United Kingdom,0.22,2026-04-23T12:01:36.612Z
019dba37-9060-758f-d8ab-137a8174ba27,Laila Saidi,female,0.66,52,adult,SD,Sudan,0.57,2026-04-23T12:01:36.864Z
019dba37-9157-7e90-0881-dd856ae9820a,Sipho Mnguni,male,0.75,60,senior,KE,Kenya,0.35,2026-04-23T12:01:37.111Z
019dba37-9259-7486-01e8-838815382431,Esi Sawadogo,female,0.68,46,adult,GM,Gambia,0.18,2026-04-23T12:01:37.369Z
019dba37-938c-72ae-3a32-e77adf7a5a66,Kunle Gbessi,male,0.84,61,senior,CI,Côte d'Ivoire,0.72,2026-04-23T12:01:37.676Z
019dba37-94ef-7592-c01b-d409a420c3b2,Nour Rachidi,female,0.78,32,adult,SD,Sudan,0.56,2026-04-23T12:01:38.031Z
019dba37-9620-76bb-bc8d-cc2615c54f9b,Tesfaye Ahmed,male,0.89,58,adult,MZ,Mozambique,0.88,2026-04-23T12:01:38.336Z
019dba37-9719-7ead-ecc7-85e6fc5859f5,Aster Getachew,female,0.75,41,adult,ET,Ethiopia,0.85,2026-04-23T12:01:38.586Z
019dba37-980f-7197-58c7-cdfd02e3e358,Bilkisu Abebe,female,0.65,24,adult,TZ,Tanzania,0.94,2026-04-23T12:01:38.831Z
019dba37-9905-7a88-aff8-5bf11560b55b,Walid Hajji,male,0.71,29,adult,MA,Morocco,0.51,2026-04-23T12:01:39.077Z
019dba37-9a14-748b-20c3-07ab219fd9f8,Zodwa Bekele,female,0.81,36,adult,MW,Malawi,0.95,2026-04-23T12:01:39.348Z
